uid,title,description,url,audio_url,image_url,collection,vendor,vendor_identifier
c7bcfe33-c77a-4c45-983d-0b903926dc9d,cy_audio_news_chunk_11_2,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_11_2.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_11_2.vtt
23960d47-6c93-42f3-aba0-aa3b0b897982,cy_audio_news_chunk_11_20,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_11_20.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_11_20.vtt
406e03ab-6917-4bbb-bc7e-9a0749790cbd,cy_audio_news_chunk_11_21,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_11_21.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_11_21.vtt
a8e57dd2-1452-4fe0-ae93-b34d57649839,cy_audio_news_chunk_11_22,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_11_22.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_11_22.vtt
d79e5df0-6b15-4d94-af6f-74c6849d4fad,cy_audio_news_chunk_11_23,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_11_23.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_11_23.vtt
8b30947e-a0ee-4093-aabf-cd705b2f6343,cy_audio_news_chunk_11_24,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_11_24.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_11_24.vtt
d7516870-ddb7-4ca2-9209-e5ac811b354e,cy_audio_news_chunk_11_25,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_11_25.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_11_25.vtt
1047e974-4ff5-4881-8a1b-cd1e64927c2b,cy_audio_news_chunk_11_26,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_11_26.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_11_26.vtt
6d0159ec-8c56-4afa-9c54-c16edddef767,cy_audio_news_chunk_11_27,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_11_27.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_11_27.vtt
3a91756d-223e-4fcc-8d86-62d5a2d672f3,cy_audio_news_chunk_11_28,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_11_28.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_11_28.vtt
b5bd4586-c916-4b4e-846e-e9d478704a5d,cy_audio_news_chunk_11_29,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_11_29.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_11_29.vtt
8b36ff7d-3173-431c-8960-14ea246b445e,cy_audio_news_chunk_11_3,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_11_3.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_11_3.vtt
cdd540f8-1ef6-4769-a80f-0e753c801178,cy_audio_news_chunk_11_30,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_11_30.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_11_30.vtt
7e2ed81f-f0ea-4f36-8e8d-eb0e9559480c,cy_audio_news_chunk_11_31,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_11_31.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_11_31.vtt
d332bf50-7e3e-4f00-bb41-bb63d1b088d3,cy_audio_news_chunk_11_4,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_11_4.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_11_4.vtt
6f5cbe16-150e-4000-bbe0-abfed695e086,cy_audio_news_chunk_11_5,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_11_5.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_11_5.vtt
0624d68d-8b4d-47f1-80d9-68747ec8ec8a,cy_audio_news_chunk_11_6,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_11_6.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_11_6.vtt
26fa0753-5cde-451e-ab1f-7c5df4779d79,cy_audio_news_chunk_11_7,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_11_7.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_11_7.vtt
f76c487a-59cf-4157-abcc-f97b2a680881,cy_audio_news_chunk_11_8,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_11_8.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_11_8.vtt
a00bc0d9-3dc9-4065-8df2-a22c3f83eb02,cy_audio_news_chunk_11_9,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_11_9.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_11_9.vtt
9a783746-eeb6-452c-b0a2-5035b096d2ad,cy_audio_news_chunk_12_1,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_12_1.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_12_1.vtt
083f8901-625e-426c-b144-9e77c005bff5,cy_audio_news_chunk_12_10,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_12_10.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_12_10.vtt
9ff67ab2-a755-4daa-972d-056a85ac940b,cy_audio_news_chunk_12_11,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_12_11.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_12_11.vtt
4083a33c-32ce-43b1-aa69-45d55b092e96,cy_audio_news_chunk_12_12,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_12_12.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_12_12.vtt
139e51f9-c3f4-4d46-9a18-61202b983597,cy_audio_news_chunk_12_13,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_12_13.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_12_13.vtt
c675b8a0-b02e-4283-bb92-52df6408d90b,cy_audio_news_chunk_12_14,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_12_14.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_12_14.vtt
3b4904bc-ba88-4d3b-8962-b52bdc4b995a,cy_audio_news_chunk_12_15,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_12_15.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_12_15.vtt
4ef9d1b9-7789-441c-a606-883ef8193ea0,cy_audio_news_chunk_12_2,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_12_2.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_12_2.vtt
08aacf96-702d-480f-88aa-6e70eaa5af44,cy_audio_news_chunk_12_3,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_12_3.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_12_3.vtt
